bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese_kolyb,25,334,26,25,0
eggC2,87,155 ,13,11,1
apple,150,52,0.3,0.2,14
naliv_bread,60,220,5.5,1,46


chicken_rice_flakes,125,131,14,3,12
red_lentil,20,360,25,2,60
rice,53,330,6.5,0.5,75
naliv_bread,240,220,5.5,1,46
waffl_halva,45,480,7,22,63

bcaa,10,360,100,0,0
maltodextr,15,372,0,0,93

pasta_bl,133,330,11,1.5,69
sunfl_oil,10,898,0,100,0
cheese5pc,100,121,16,5,3
Sauerkraut,50,19,1.9,0,2.2
