bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
eggC2,87,155 ,13,11,1
cheese_kolyb,25,334,26,25,0
rzh_bread,92,200,6,1,42


carrot,50,41,0.1,0.2,10
red_lentil,20,360,25,2,60
rice,63,330,6.5,0.5,75
chicken_fillet,120,110,21,3,0
sunfl_oil,10,898,0,100,0

banana,200,89,1.1,0.3,23
cereal_power,80,256,8.4,2.4,49.4

oatmeal_cookies,120,440,6,15,70
pasta_bl,133,330,11,1.5,69
cheese5pc,100,121,16,5,3
sunfl_oil,10,898,0,100,0
mare_laminaria,75,160,1,14,7
