bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese5pc,30,121,16,5,3
cheese_kolyb,50,334,26,25,0
apple,150,52,0.3,0.2,14
naliv_bread,60,220,5.5,1,46

ground_turkey,112,130,19,6,0
potato,200,77,2,0.4,16
carrot,80,41,0.1,0.2,10
red_lentil,20,360,25,2,60
rice,53,330,6.5,0.5,75

naliv_bread,60,220,5.5,1,46

maltodextr,15,372,0,0,93
banana,300,89,1.1,0.3,23
bcaa,5,360,100,0,0


pasta_bl,133,330,11,1.5,69
cauliflower,150,25,1.9,0.3,5
carrot,200,41,0.1,0.2,10
cheese5pc,100,121,16,5,3
sunfl_oil,10,898,0,100,0

