bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
bread_solod,100,217,7.5,1,44.5
cheese5pc,100,121,16,5,3


bread_solod,100,217,7.5,1,44.5
apple,150,52,0.3,0.2,14
naliv_bread,300,220,5.5,1,46
ground_turkey,112,130,19,6,0
potato,200,77,2,0.4,16
carrot,80,41,0.1,0.2,10

bcaa,5,360,100,0,0
maltodextr,15,372,0,0,93

pasta_bl,133,330,11,1.5,69
beta,150,50,1.5,0.1,9
cheese5pc,100,121,16,5,3
sunfl_oil,10,898,0,100,0

#red_ch,60g,360,25,2,60
#rice,160g,330,6.5,0.5,75
