bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese5pc,50,121,16,5,3
eggC2,43,155 ,13,11,1
oatmeal_cookies,100,440,6,15,70


carrot,300,41,0.1,0.2,10
potato,300,77,3,0.1,17
beta,150,50,1.5,0.1,9
chicken,120,110,21,3,0
sunfl_oil,10,898,0,100,0

banana,400,89,1.1,0.3,23

soft_cheese,170,98,8.6,5.5,3.5
naliv_bread,150,220,5.5,1,46
frantik_blackberry,100,359,4.7,13.5,54.6
picnic,76,481,7.2,24,57
potato_stone,150,83,2.2,3.5,10.8
banana_joice,100,48,0,0,12
