bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese_kolyb,50,334,26,25,0
cereal_power,80,256,8.4,2.4,49.4
cheese5pc,30,121,16,5,3


cereal_power,140,256,8.4,2.4,49.4
banana,200,89,1.1,0.3,23


chicken,120,110,21,3,0
red_lentil,10,360,25,2,60
rice,30,330,6.5,0.5,75
carrot,100,41,0.1,0.2,10
potato,100,77,3,0.1,17
sunfl_oil,10,898,0,100,0

bcaa,5,360,100,0,0
banana,200,89,1.1,0.3,23

oatmeal_cookies,60,440,6,15,70
pasta_bl,133,330,11,1.5,69
cheese5pc,100,121,16,5,3
sunfl_oil,10,898,0,100,0
naliv_bread,30,220,5.5,1,46
