prot_prp,30,430,80,9,7
banana,200,89,1.1,0.3,23

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese5pc,100,121,16,5,3
cheese_kolyb,25,334,26,25,0
rzh_bread,92,200,6,1,42
raisin_yellow,20,299,3.1,0.5,79

rzh_bread,92,200,6,1,42

carrot,100,41,0.1,0.2,10
potato,150,77,3,0.1,17
Merluccius,100,73,16,1,0
pasta_bl,133,330,11,1.5,69
sunfl_oil,10,898,0,100,0

banana,200,89,1.1,0.3,23
biscolata,27.5,552,6.3,28.8,57.7

pasta_bl,133,330,11,1.5,69
cheese5pc,100,121,16,5,3
sunfl_oil,10,898,0,100,0
